,Date,Hume Checking,Hume Credit: Curr Stmt Bal,Hume Credit: Prev Stmt Bal,Hume Credit: Credit Billing Cycle Payment Bal,Hume Credit: Credit End of Prev Cycle Bal,Marginal Interest,Net Gain,Net Loss,Net Worth,Loan Total,CC Debt Total,Liquid Total,Next Income Date,Memo Directives,Memo
60,2025-08-30,1500.0,10000.0,10000.0,0.0,10000.0,0,0,0,-18500.0,0.0,20000.0,1500.0,,,
61,2025-08-31,1500.0,10000.0,10000.0,0.0,10000.0,0,0,0,-18500.0,0.0,20000.0,1500.0,,,
62,2025-09-01,1500.0,10000.0,10000.0,0.0,10000.0,0,0,0,-18500.0,0.0,20000.0,1500.0,,,
63,2025-09-02,1500.0,10000.0,10000.0,0.0,10000.0,0,0,0,-18500.0,0.0,20000.0,1500.0,,,
64,2025-09-03,1500.0,10000.0,10000.0,0.0,10000.0,0,0,0,-18500.0,0.0,20000.0,1500.0,,,
65,2025-09-04,1500.0,10000.0,10000.0,0.0,10000.0,0,0,0,-18500.0,0.0,20000.0,1500.0,,,
66,2025-09-05,1500.0,10000.0,10000.0,0.0,10000.0,0,0,0,-18500.0,0.0,20000.0,1500.0,,,
67,2025-09-06,1500.0,10000.0,10000.0,0.0,10000.0,0,0,0,-18500.0,0.0,20000.0,1500.0,,,
68,2025-09-07,1500.0,10000.0,10000.0,0.0,10000.0,0,0,0,-18500.0,0.0,20000.0,1500.0,,,
69,2025-09-08,1500.0,10000.0,10000.0,0.0,10000.0,0,0,0,-18500.0,0.0,20000.0,1500.0,,,
70,2025-09-09,1500.0,10000.0,10000.0,0.0,10000.0,0,0,0,-18500.0,0.0,20000.0,1500.0,,,
71,2025-09-10,1500.0,10000.0,10000.0,0.0,10000.0,0,0,0,-18500.0,0.0,20000.0,1500.0,,,
72,2025-09-11,1500.0,10000.0,10000.0,0.0,10000.0,0,0,0,-18500.0,0.0,20000.0,1500.0,,,
73,2025-09-12,1500.0,10000.0,10000.0,0.0,10000.0,0,0,0,-18500.0,0.0,20000.0,1500.0,,,
74,2025-09-13,1500.0,10000.0,10000.0,0.0,10000.0,0,0,0,-18500.0,0.0,20000.0,1500.0,,,
75,2025-09-14,1500.0,10000.0,10000.0,0.0,10000.0,0,0,0,-18500.0,0.0,20000.0,1500.0,,,
76,2025-09-15,1500.0,10000.0,10000.0,0.0,10000.0,0,0,0,-18500.0,0.0,20000.0,1500.0,,,
77,2025-09-16,1500.0,10000.0,10000.0,0.0,10000.0,0,0,0,-18500.0,0.0,20000.0,1500.0,,,
78,2025-09-17,1500.0,10000.0,10000.0,0.0,10000.0,0,0,0,-18500.0,0.0,20000.0,1500.0,,,
79,2025-09-18,1500.0,10000.0,10000.0,0.0,10000.0,0,0,0,-18500.0,0.0,20000.0,1500.0,,,
80,2025-09-19,1500.0,10000.0,10000.0,0.0,10000.0,0,0,0,-18500.0,0.0,20000.0,1500.0,,,
81,2025-09-20,1500.0,10000.0,10000.0,0.0,10000.0,0,0,0,-18500.0,0.0,20000.0,1500.0,,,
82,2025-09-21,1500.0,10000.0,10000.0,0.0,10000.0,0,0,0,-18500.0,0.0,20000.0,1500.0,,,
83,2025-09-22,1500.0,10000.0,10000.0,0.0,10000.0,0,0,0,-18500.0,0.0,20000.0,1500.0,,,
84,2025-09-23,1500.0,10000.0,10000.0,0.0,10000.0,0,0,0,-18500.0,0.0,20000.0,1500.0,,,
85,2025-09-24,1500.0,10000.0,10000.0,0.0,10000.0,0,0,0,-18500.0,0.0,20000.0,1500.0,,,
86,2025-09-25,1500.0,10000.0,10000.0,0.0,10000.0,0,0,0,-18500.0,0.0,20000.0,1500.0,,,
87,2025-09-26,1500.0,10000.0,10000.0,0.0,10000.0,0,0,0,-18500.0,0.0,20000.0,1500.0,,,
88,2025-09-27,1500.0,10000.0,10000.0,0.0,10000.0,0,0,0,-18500.0,0.0,20000.0,1500.0,,,
89,2025-09-28,1500.0,10000.0,10000.0,0.0,10000.0,0,0,0,-18500.0,0.0,20000.0,1500.0,,,
90,2025-09-29,1500.0,10000.0,10000.0,0.0,10000.0,0,0,0,-18500.0,0.0,20000.0,1500.0,,,
91,2025-09-30,1500.0,10000.0,10000.0,0.0,10000.0,0,0,0,-18500.0,0.0,20000.0,1500.0,,,
92,2025-10-01,1500.0,10000.0,10000.0,0.0,10000.0,0,0,0,-18500.0,0.0,20000.0,1500.0,,,
93,2025-10-02,1500.0,10000.0,10000.0,0.0,10000.0,0,0,0,-18500.0,0.0,20000.0,1500.0,,,
94,2025-10-03,1500.0,10000.0,10000.0,0.0,10000.0,0,0,0,-18500.0,0.0,20000.0,1500.0,,,
95,2025-10-04,1500.0,10000.0,10000.0,0.0,10000.0,0,0,0,-18500.0,0.0,20000.0,1500.0,,,
96,2025-10-05,1500.0,10000.0,10000.0,0.0,10000.0,0,0,0,-18500.0,0.0,20000.0,1500.0,,,
97,2025-10-06,1500.0,10000.0,10000.0,0.0,10000.0,0,0,0,-18500.0,0.0,20000.0,1500.0,,,
98,2025-10-07,1500.0,10000.0,10000.0,0.0,10000.0,0,0,0,-18500.0,0.0,20000.0,1500.0,,,
99,2025-10-08,1500.0,10000.0,10000.0,0.0,10000.0,0,0,0,-18500.0,0.0,20000.0,1500.0,,,
100,2025-10-09,1500.0,10000.0,10000.0,0.0,10000.0,0,0,0,-18500.0,0.0,20000.0,1500.0,,,
101,2025-10-10,1500.0,10000.0,10000.0,0.0,10000.0,0,0,0,-18500.0,0.0,20000.0,1500.0,,,
102,2025-10-11,1500.0,10000.0,10000.0,0.0,10000.0,0,0,0,-18500.0,0.0,20000.0,1500.0,,,
103,2025-10-12,1500.0,10000.0,10000.0,0.0,10000.0,0,0,0,-18500.0,0.0,20000.0,1500.0,,,
104,2025-10-13,1500.0,10000.0,10000.0,0.0,10000.0,0,0,0,-18500.0,0.0,20000.0,1500.0,,,
105,2025-10-14,1500.0,10000.0,10000.0,0.0,10000.0,0,0,0,-18500.0,0.0,20000.0,1500.0,,,
106,2025-10-15,1500.0,10000.0,10000.0,0.0,10000.0,0,0,0,-18500.0,0.0,20000.0,1500.0,,,
107,2025-10-16,1500.0,10000.0,10000.0,0.0,10000.0,0,0,0,-18500.0,0.0,20000.0,1500.0,,,
108,2025-10-17,1500.0,10000.0,10000.0,0.0,10000.0,0,0,0,-18500.0,0.0,20000.0,1500.0,,,
109,2025-10-18,1500.0,10000.0,10000.0,0.0,10000.0,0,0,0,-18500.0,0.0,20000.0,1500.0,,,
110,2025-10-19,1500.0,10000.0,10000.0,0.0,10000.0,0,0,0,-18500.0,0.0,20000.0,1500.0,,,
111,2025-10-20,1500.0,10000.0,10000.0,0.0,10000.0,0,0,0,-18500.0,0.0,20000.0,1500.0,,,
112,2025-10-21,1500.0,10000.0,10000.0,0.0,10000.0,0,0,0,-18500.0,0.0,20000.0,1500.0,,,
113,2025-10-22,1500.0,10000.0,10000.0,0.0,10000.0,0,0,0,-18500.0,0.0,20000.0,1500.0,,,
114,2025-10-23,1500.0,10000.0,10000.0,0.0,10000.0,0,0,0,-18500.0,0.0,20000.0,1500.0,,,
115,2025-10-24,1500.0,10000.0,10000.0,0.0,10000.0,0,0,0,-18500.0,0.0,20000.0,1500.0,,,
116,2025-10-25,1500.0,10000.0,10000.0,0.0,10000.0,0,0,0,-18500.0,0.0,20000.0,1500.0,,,
117,2025-10-26,1500.0,10000.0,10000.0,0.0,10000.0,0,0,0,-18500.0,0.0,20000.0,1500.0,,,
118,2025-10-27,1500.0,10000.0,10000.0,0.0,10000.0,0,0,0,-18500.0,0.0,20000.0,1500.0,,,
119,2025-10-28,1500.0,10000.0,10000.0,0.0,10000.0,0,0,0,-18500.0,0.0,20000.0,1500.0,,,
120,2025-10-29,1500.0,10000.0,10000.0,0.0,10000.0,0,0,0,-18500.0,0.0,20000.0,1500.0,,,
121,2025-10-30,1500.0,10000.0,10000.0,0.0,10000.0,0,0,0,-18500.0,0.0,20000.0,1500.0,,,
122,2025-10-31,1500.0,10000.0,10000.0,0.0,10000.0,0,0,0,-18500.0,0.0,20000.0,1500.0,,,
123,2025-11-01,1500.0,10000.0,10000.0,0.0,10000.0,0,0,0,-18500.0,0.0,20000.0,1500.0,,,
124,2025-11-02,1500.0,10000.0,10000.0,0.0,10000.0,0,0,0,-18500.0,0.0,20000.0,1500.0,,,
125,2025-11-03,1500.0,10000.0,10000.0,0.0,10000.0,0,0,0,-18500.0,0.0,20000.0,1500.0,,,
126,2025-11-04,1500.0,10000.0,10000.0,0.0,10000.0,0,0,0,-18500.0,0.0,20000.0,1500.0,,,
127,2025-11-05,1500.0,10000.0,10000.0,0.0,10000.0,0,0,0,-18500.0,0.0,20000.0,1500.0,,,
128,2025-11-06,1500.0,10000.0,10000.0,0.0,10000.0,0,0,0,-18500.0,0.0,20000.0,1500.0,,,
129,2025-11-07,1500.0,10000.0,10000.0,0.0,10000.0,0,0,0,-18500.0,0.0,20000.0,1500.0,,,
130,2025-11-08,1500.0,10000.0,10000.0,0.0,10000.0,0,0,0,-18500.0,0.0,20000.0,1500.0,,,
131,2025-11-09,1500.0,10000.0,10000.0,0.0,10000.0,0,0,0,-18500.0,0.0,20000.0,1500.0,,,
132,2025-11-10,1500.0,10000.0,10000.0,0.0,10000.0,0,0,0,-18500.0,0.0,20000.0,1500.0,,,
133,2025-11-11,1500.0,10000.0,10000.0,0.0,10000.0,0,0,0,-18500.0,0.0,20000.0,1500.0,,,
134,2025-11-12,1500.0,10000.0,10000.0,0.0,10000.0,0,0,0,-18500.0,0.0,20000.0,1500.0,,,
135,2025-11-13,1500.0,10000.0,10000.0,0.0,10000.0,0,0,0,-18500.0,0.0,20000.0,1500.0,,,
136,2025-11-14,1500.0,10000.0,10000.0,0.0,10000.0,0,0,0,-18500.0,0.0,20000.0,1500.0,,,
137,2025-11-15,1500.0,10000.0,10000.0,0.0,10000.0,0,0,0,-18500.0,0.0,20000.0,1500.0,,,
138,2025-11-16,1500.0,10000.0,10000.0,0.0,10000.0,0,0,0,-18500.0,0.0,20000.0,1500.0,,,
139,2025-11-17,1500.0,10000.0,10000.0,0.0,10000.0,0,0,0,-18500.0,0.0,20000.0,1500.0,,,
140,2025-11-18,1500.0,10000.0,10000.0,0.0,10000.0,0,0,0,-18500.0,0.0,20000.0,1500.0,,,
141,2025-11-19,1500.0,10000.0,10000.0,0.0,10000.0,0,0,0,-18500.0,0.0,20000.0,1500.0,,,
142,2025-11-20,1500.0,10000.0,10000.0,0.0,10000.0,0,0,0,-18500.0,0.0,20000.0,1500.0,,,
143,2025-11-21,1500.0,10000.0,10000.0,0.0,10000.0,0,0,0,-18500.0,0.0,20000.0,1500.0,,,
144,2025-11-22,1500.0,10000.0,10000.0,0.0,10000.0,0,0,0,-18500.0,0.0,20000.0,1500.0,,,
145,2025-11-23,1500.0,10000.0,10000.0,0.0,10000.0,0,0,0,-18500.0,0.0,20000.0,1500.0,,,
146,2025-11-24,1500.0,10000.0,10000.0,0.0,10000.0,0,0,0,-18500.0,0.0,20000.0,1500.0,,,
147,2025-11-25,1500.0,10000.0,10000.0,0.0,10000.0,0,0,0,-18500.0,0.0,20000.0,1500.0,,,
148,2025-11-26,1500.0,10000.0,10000.0,0.0,10000.0,0,0,0,-18500.0,0.0,20000.0,1500.0,,,
149,2025-11-27,1500.0,10000.0,10000.0,0.0,10000.0,0,0,0,-18500.0,0.0,20000.0,1500.0,,,
150,2025-11-28,1500.0,10000.0,10000.0,0.0,10000.0,0,0,0,-18500.0,0.0,20000.0,1500.0,,,
151,2025-11-29,1500.0,10000.0,10000.0,0.0,10000.0,0,0,0,-18500.0,0.0,20000.0,1500.0,,,
152,2025-11-30,1500.0,10000.0,10000.0,0.0,10000.0,0,0,0,-18500.0,0.0,20000.0,1500.0,,,
153,2025-12-01,1500.0,10000.0,10000.0,0.0,10000.0,0,0,0,-18500.0,0.0,20000.0,1500.0,,,
154,2025-12-02,1500.0,10000.0,10000.0,0.0,10000.0,0,0,0,-18500.0,0.0,20000.0,1500.0,,,
155,2025-12-03,1500.0,10000.0,10000.0,0.0,10000.0,0,0,0,-18500.0,0.0,20000.0,1500.0,,,
156,2025-12-04,1500.0,10000.0,10000.0,0.0,10000.0,0,0,0,-18500.0,0.0,20000.0,1500.0,,,
157,2025-12-05,1500.0,10000.0,10000.0,0.0,10000.0,0,0,0,-18500.0,0.0,20000.0,1500.0,,,
158,2025-12-06,1500.0,10000.0,10000.0,0.0,10000.0,0,0,0,-18500.0,0.0,20000.0,1500.0,,,
159,2025-12-07,1500.0,10000.0,10000.0,0.0,10000.0,0,0,0,-18500.0,0.0,20000.0,1500.0,,,
160,2025-12-08,1500.0,10000.0,10000.0,0.0,10000.0,0,0,0,-18500.0,0.0,20000.0,1500.0,,,
161,2025-12-09,1500.0,10000.0,10000.0,0.0,10000.0,0,0,0,-18500.0,0.0,20000.0,1500.0,,,
162,2025-12-10,1500.0,10000.0,10000.0,0.0,10000.0,0,0,0,-18500.0,0.0,20000.0,1500.0,,,
163,2025-12-11,1500.0,10000.0,10000.0,0.0,10000.0,0,0,0,-18500.0,0.0,20000.0,1500.0,,,
164,2025-12-12,1500.0,10000.0,10000.0,0.0,10000.0,0,0,0,-18500.0,0.0,20000.0,1500.0,,,
165,2025-12-13,1500.0,10000.0,10000.0,0.0,10000.0,0,0,0,-18500.0,0.0,20000.0,1500.0,,,
166,2025-12-14,1500.0,10000.0,10000.0,0.0,10000.0,0,0,0,-18500.0,0.0,20000.0,1500.0,,,
167,2025-12-15,1500.0,10000.0,10000.0,0.0,10000.0,0,0,0,-18500.0,0.0,20000.0,1500.0,,,
168,2025-12-16,1500.0,10000.0,10000.0,0.0,10000.0,0,0,0,-18500.0,0.0,20000.0,1500.0,,,
169,2025-12-17,1500.0,10000.0,10000.0,0.0,10000.0,0,0,0,-18500.0,0.0,20000.0,1500.0,,,
170,2025-12-18,1500.0,10000.0,10000.0,0.0,10000.0,0,0,0,-18500.0,0.0,20000.0,1500.0,,,
171,2025-12-19,1500.0,10000.0,10000.0,0.0,10000.0,0,0,0,-18500.0,0.0,20000.0,1500.0,,,
172,2025-12-20,1500.0,10000.0,10000.0,0.0,10000.0,0,0,0,-18500.0,0.0,20000.0,1500.0,,,
173,2025-12-21,1500.0,10000.0,10000.0,0.0,10000.0,0,0,0,-18500.0,0.0,20000.0,1500.0,,,
174,2025-12-22,1500.0,10000.0,10000.0,0.0,10000.0,0,0,0,-18500.0,0.0,20000.0,1500.0,,,
175,2025-12-23,1500.0,10000.0,10000.0,0.0,10000.0,0,0,0,-18500.0,0.0,20000.0,1500.0,,,
176,2025-12-24,1500.0,10000.0,10000.0,0.0,10000.0,0,0,0,-18500.0,0.0,20000.0,1500.0,,,
177,2025-12-25,1500.0,10000.0,10000.0,0.0,10000.0,0,0,0,-18500.0,0.0,20000.0,1500.0,,,
178,2025-12-26,1500.0,10000.0,10000.0,0.0,10000.0,0,0,0,-18500.0,0.0,20000.0,1500.0,,,
179,2025-12-27,1500.0,10000.0,10000.0,0.0,10000.0,0,0,0,-18500.0,0.0,20000.0,1500.0,,,
180,2025-12-28,1500.0,10000.0,10000.0,0.0,10000.0,0,0,0,-18500.0,0.0,20000.0,1500.0,,,
181,2025-12-29,1500.0,10000.0,10000.0,0.0,10000.0,0,0,0,-18500.0,0.0,20000.0,1500.0,,,
182,2025-12-30,1500.0,10000.0,10000.0,0.0,10000.0,0,0,0,-18500.0,0.0,20000.0,1500.0,,,
183,2025-12-31,1500.0,10000.0,10000.0,0.0,10000.0,0,0,0,-18500.0,0.0,20000.0,1500.0,,,
184,2026-01-01,1500.0,10000.0,10000.0,0.0,10000.0,0,0,0,-18500.0,0.0,20000.0,1500.0,,,
