,Date,Checking,Credit: Curr Stmt Bal,Credit: Prev Stmt Bal,Credit: Credit Billing Cycle Payment Bal,Credit: Credit End of Prev Cycle Bal,Dad: Principal Balance,Dad: Interest,Dad: Loan Billing Cycle Payment Bal,Dad: Loan End of Prev Cycle Bal,Student Loans: Principal Balance,Student Loans: Interest,Student Loans: Loan Billing Cycle Payment Bal,Student Loans: Loan End of Prev Cycle Bal,Marginal Interest,Net Gain,Net Loss,Net Worth,Loan Total,CC Debt Total,Liquid Total,Next Income Date,Memo Directives,Memo
56,20241224,3200.0,765.0,10949.5,0.0,10949.5,14900.0,0.0,0.0,14900.0,14739.42,50.82,0.0,14739.42,2.42,0.0,22.42,-38204.74,29690.239999999998,11714.5,3200.0,20250103,,food (Credit -$20.00)
57,20241225,3200.0,785.0,10949.5,0.0,10949.5,14900.0,0.0,0.0,14900.0,14739.42,53.24,0.0,14739.42,2.42,0.0,22.42,-38227.16,29692.66,11734.5,3200.0,20250103,,food (Credit -$20.00)
58,20241226,3200.0,805.0,10949.5,0.0,10949.5,14900.0,0.0,0.0,14900.0,14739.42,55.66,0.0,14739.42,2.42,0.0,22.42,-38249.58,29695.079999999998,11754.5,3200.0,20250103,,food (Credit -$20.00)
59,20241227,3200.0,825.0,10949.5,0.0,10949.5,14900.0,0.0,0.0,14900.0,14739.42,58.08,0.0,14739.42,2.42,0.0,22.42,-38272.0,29697.5,11774.5,3200.0,20250103,,food (Credit -$20.00)
60,20241228,3200.0,845.0,10949.5,0.0,10949.5,14900.0,0.0,0.0,14900.0,14739.42,60.5,0.0,14739.42,2.42,0.0,22.42,-38294.42,29699.92,11794.5,3200.0,20250103,,food (Credit -$20.00)
61,20241229,3200.0,865.0,10949.5,0.0,10949.5,14900.0,0.0,0.0,14900.0,14739.42,62.92,0.0,14739.42,2.42,0.0,22.42,-38316.84,29702.339999999997,11814.5,3200.0,20250103,,food (Credit -$20.00)
62,20241230,3200.0,885.0,10949.5,0.0,10949.5,14900.0,0.0,0.0,14900.0,14739.42,65.34,0.0,14739.42,2.42,0.0,22.42,-38339.259999999995,29704.76,11834.5,3200.0,20250103,,food (Credit -$20.00)
63,20241231,3200.0,985.0,10949.5,0.0,10949.5,14900.0,0.0,0.0,14900.0,14739.42,67.76,0.0,14739.42,2.42,0.0,102.42,-38441.67999999999,29707.179999999997,11934.5,3200.0,20250103,,gas (Credit -$80.00); food (Credit -$20.00)
64,20250101,2700.0,1105.0,10949.5,0.0,10949.5,14400.0,0.0,0.0,14900.0,14739.42,70.18,0.0,14739.42,2.42,0.0,122.42,-38564.1,29209.6,12054.5,2700.0,20250103,LOAN MIN PAYMENT (Dad: Principal Balance -$500.00); LOAN MIN PAYMENT (Checking -$500.00),storage unit rent (Credit -$100.00); food (Credit -$20.00)
65,20250102,2700.0,1215.0,10949.5,0.0,10949.5,14400.0,0.0,0.0,14400.0,14739.42,72.6,0.0,14739.42,2.42,0.0,112.42,-38676.52,29212.019999999997,12164.5,2700.0,20250103,,parking (Credit -$50.00); ai daddy (Credit -$20.00); food (Credit -$20.00); hulu (Credit -$20.00)
66,20250103,4076.81,1235.0,10949.5,0.0,10949.5,14400.0,0.0,0.0,14400.0,14591.25,0.0,0.0,14739.42,2.42,1577.58,0.0,-37098.94,28991.25,12184.5,4076.81,20250117,INCOME (Checking +$1600.00); LOAN MIN PAYMENT (Student Loans: Interest -$75.02); LOAN MIN PAYMENT (Student Loans: Principal Balance -$148.17); LOAN MIN PAYMENT (Checking -$223.19),EMT income (Checking +$1600.00); food (Credit -$20.00)
67,20250104,4076.81,1255.0,10949.5,0.0,10949.5,14400.0,0.0,0.0,14400.0,14591.25,2.4,0.0,14591.25,2.4,0.0,22.4,-37121.340000000004,28993.65,12204.5,4076.81,20250117,,food (Credit -$20.00)
68,20250105,4076.81,1275.0,10949.5,0.0,10949.5,14400.0,0.0,0.0,14400.0,14591.25,4.8,0.0,14591.25,2.4,0.0,22.4,-37143.740000000005,28996.05,12224.5,4076.81,20250117,,food (Credit -$20.00)
69,20250106,4076.81,1295.0,10949.5,0.0,10949.5,14400.0,0.0,0.0,14400.0,14591.25,7.2,0.0,14591.25,2.4,0.0,22.4,-37166.14,28998.45,12244.5,4076.81,20250117,,food (Credit -$20.00)
70,20250107,3702.79,0,12155.0,0,10949.5,14400.0,0.0,0.0,14400.0,14591.25,9.6,0.0,14591.25,266.91999999999996,0.0,286.91999999999996,-37453.06,29000.85,12155.0,3702.79,20250117,CC INTEREST (Credit: Prev Stmt Bal +$264.52); CC MIN PAYMENT (Credit: Prev Stmt Bal -$374.02); CC MIN PAYMENT (Checking -$374.02),food (Credit -$20.00)
71,20250108,3702.79,20.0,12155.0,0.0,10082.8,14400.0,0.0,0.0,14400.0,14591.25,12.0,0.0,14591.25,2.4,0.0,22.4,-37475.46,29003.25,12175.0,3702.79,20250117,,food (Credit -$20.00)
72,20250109,3702.79,40.0,12155.0,0.0,10082.8,14400.0,0.0,0.0,14400.0,14591.25,14.4,0.0,14591.25,2.4,0.0,22.4,-37497.86,29005.65,12195.0,3702.79,20250117,,food (Credit -$20.00)
73,20250110,3702.79,60.0,12155.0,0.0,10082.8,14400.0,0.0,0.0,14400.0,14591.25,16.8,0.0,14591.25,2.4,0.0,22.4,-37520.259999999995,29008.05,12215.0,3702.79,20250117,,food (Credit -$20.00)
74,20250111,3702.79,80.0,12155.0,0.0,10082.8,14400.0,0.0,0.0,14400.0,14591.25,19.2,0.0,14591.25,2.4,0.0,22.4,-37542.66,29010.45,12235.0,3702.79,20250117,,food (Credit -$20.00)
75,20250112,3702.79,100.0,12155.0,0.0,10082.8,14400.0,0.0,0.0,14400.0,14591.25,21.6,0.0,14591.25,2.4,0.0,22.4,-37565.06,29012.85,12255.0,3702.79,20250117,,food (Credit -$20.00)
76,20250113,3702.79,120.0,12155.0,0.0,10082.8,14400.0,0.0,0.0,14400.0,14591.25,24.0,0.0,14591.25,2.4,0.0,22.4,-37587.46,29015.25,12275.0,3702.79,20250117,,food (Credit -$20.00)
77,20250114,3702.79,220.0,12155.0,0.0,10082.8,14400.0,0.0,0.0,14400.0,14591.25,26.4,0.0,14591.25,2.4,0.0,102.4,-37689.86,29017.65,12375.0,3702.79,20250117,,gas (Credit -$80.00); food (Credit -$20.00)
78,20250115,3702.79,240.0,12155.0,0.0,10082.8,14400.0,0.0,0.0,14400.0,14591.25,28.8,0.0,14591.25,2.4,0.0,22.4,-37712.259999999995,29020.05,12395.0,3702.79,20250117,,food (Credit -$20.00)
79,20250116,3702.79,260.0,12155.0,0.0,10082.8,14400.0,0.0,0.0,14400.0,14591.25,31.2,0.0,14591.25,2.4,0.0,22.4,-37734.66,29022.45,12415.0,3702.79,20250117,,food (Credit -$20.00)
80,20250117,5302.79,280.0,12155.0,0.0,10082.8,14400.0,0.0,0.0,14400.0,14591.25,33.6,0.0,14591.25,2.4,1577.6,0.0,-36157.06,29024.85,12435.0,5302.79,20250131,INCOME (Checking +$1600.00),EMT income (Checking +$1600.00); food (Credit -$20.00)
81,20250118,5302.79,550.0,12155.0,0.0,10082.8,14400.0,0.0,0.0,14400.0,14591.25,36.0,0.0,14591.25,2.4,0.0,272.4,-36429.46,29027.25,12705.0,5302.79,20250131,,phone (Credit -$250.00); food (Credit -$20.00)
82,20250119,5302.79,570.0,12155.0,0.0,10082.8,14400.0,0.0,0.0,14400.0,14591.25,38.4,0.0,14591.25,2.4,0.0,22.4,-36451.86,29029.65,12725.0,5302.79,20250131,,food (Credit -$20.00)
83,20250120,5302.79,685.0,12155.0,0.0,10082.8,14400.0,0.0,0.0,14400.0,14591.25,40.8,0.0,14591.25,2.4,0.0,117.4,-36569.259999999995,29032.05,12840.0,5302.79,20250131,,car insurance (Credit -$95.00); food (Credit -$20.00)
84,20250121,5302.79,705.0,12155.0,0.0,10082.8,14400.0,0.0,0.0,14400.0,14591.25,43.2,0.0,14591.25,2.4,0.0,22.4,-36591.66,29034.45,12860.0,5302.79,20250131,,food (Credit -$20.00)
85,20250122,5302.79,725.0,12155.0,0.0,10082.8,14400.0,0.0,0.0,14400.0,14591.25,45.6,0.0,14591.25,2.4,0.0,22.4,-36614.06,29036.85,12880.0,5302.79,20250131,,food (Credit -$20.00)
86,20250123,5302.79,745.0,12155.0,0.0,10082.8,14400.0,0.0,0.0,14400.0,14591.25,48.0,0.0,14591.25,2.4,0.0,22.4,-36636.46,29039.25,12900.0,5302.79,20250131,,food (Credit -$20.00)
87,20250124,5302.79,765.0,12155.0,0.0,10082.8,14400.0,0.0,0.0,14400.0,14591.25,50.4,0.0,14591.25,2.4,0.0,22.4,-36658.86,29041.65,12920.0,5302.79,20250131,,food (Credit -$20.00)
88,20250125,5302.79,785.0,12155.0,0.0,10082.8,14400.0,0.0,0.0,14400.0,14591.25,52.8,0.0,14591.25,2.4,0.0,22.4,-36681.259999999995,29044.05,12940.0,5302.79,20250131,,food (Credit -$20.00)
89,20250126,5302.79,805.0,12155.0,0.0,10082.8,14400.0,0.0,0.0,14400.0,14591.25,55.2,0.0,14591.25,2.4,0.0,22.4,-36703.66,29046.45,12960.0,5302.79,20250131,,food (Credit -$20.00)
90,20250127,5302.79,825.0,12155.0,0.0,10082.8,14400.0,0.0,0.0,14400.0,14591.25,57.6,0.0,14591.25,2.4,0.0,22.4,-36726.06,29048.85,12980.0,5302.79,20250131,,food (Credit -$20.00)
91,20250128,5302.79,925.0,12155.0,0.0,10082.8,14400.0,0.0,0.0,14400.0,14591.25,60.0,0.0,14591.25,2.4,0.0,102.4,-36828.46,29051.25,13080.0,5302.79,20250131,,gas (Credit -$80.00); food (Credit -$20.00)
92,20250129,5302.79,945.0,12155.0,0.0,10082.8,14400.0,0.0,0.0,14400.0,14591.25,62.4,0.0,14591.25,2.4,0.0,22.4,-36850.86,29053.65,13100.0,5302.79,20250131,,food (Credit -$20.00)
93,20250130,5302.79,965.0,12155.0,0.0,10082.8,14400.0,0.0,0.0,14400.0,14591.25,64.8,0.0,14591.25,2.4,0.0,22.4,-36873.259999999995,29056.05,13120.0,5302.79,20250131,,food (Credit -$20.00)
94,20250131,6902.79,985.0,12155.0,0.0,10082.8,14400.0,0.0,0.0,14400.0,14591.25,67.2,0.0,14591.25,2.4,1577.6,0.0,-35295.66,29058.45,13140.0,6902.79,20250214,INCOME (Checking +$1600.00),EMT income (Checking +$1600.00); food (Credit -$20.00)
95,20250201,6402.79,1105.0,12155.0,0.0,10082.8,13900.0,0.0,0.0,14400.0,14591.25,69.6,0.0,14591.25,2.4,0.0,122.4,-35418.06,28560.85,13260.0,6402.79,20250214,LOAN MIN PAYMENT (Dad: Principal Balance -$500.00); LOAN MIN PAYMENT (Checking -$500.00),storage unit rent (Credit -$100.00); food (Credit -$20.00)
96,20250202,6402.79,1215.0,12155.0,0.0,10082.8,13900.0,0.0,0.0,13900.0,14591.25,72.0,0.0,14591.25,2.4,0.0,112.4,-35530.46,28563.25,13370.0,6402.79,20250214,,parking (Credit -$50.00); ai daddy (Credit -$20.00); food (Credit -$20.00); hulu (Credit -$20.00)
97,20250203,5779.6,1235.0,12155.0,0.0,10082.8,13900.0,0.0,0.0,13900.0,14442.46,0.0,0.0,14591.25,2.4,0.0,422.4,-35952.86,28342.46,13390.0,5779.6,20250214,LOAN MIN PAYMENT (Student Loans: Interest -$74.40); LOAN MIN PAYMENT (Student Loans: Principal Balance -$148.79); LOAN MIN PAYMENT (Checking -$223.19),sjcc spring 2025 tuition (Checking -$400.00); food (Credit -$20.00)
98,20250204,5779.6,1255.0,12155.0,0.0,10082.8,13900.0,0.0,0.0,13900.0,14442.46,2.37,0.0,14442.46,2.37,0.0,22.37,-35975.229999999996,28344.829999999998,13410.0,5779.6,20250214,,food (Credit -$20.00)
99,20250205,0.0,1275.0,6375.4,5779.6,10082.8,13900.0,0.0,0.0,13900.0,14442.46,4.74,0.0,14442.46,2.37,0.0,22.37,-35997.6,28347.2,7650.4,0.0,20250214,ADDTL CC PAYMENT (Checking -$5779.60); ADDTL CC PAYMENT (Credit: Prev Stmt Bal -$5779.60),food (Credit -$20.00)
100,20250206,0.0,1295.0,6375.4,5779.6,10082.8,13900.0,0.0,0.0,13900.0,14442.46,7.11,0.0,14442.46,2.37,0.0,22.37,-36019.97,28349.57,7670.4,0.0,20250214,,food (Credit -$20.00)
